C_CourseID,C_CourseName,C_DepartmentID,C_InstructorID,C_Credits
Integer,String,Integer,Integer,Integer
-------------------------------------------
1,Course1,67,19149,4
2,Course2,25,24230,3
3,Course3,8,12873,4
4,Course4,75,9378,4
5,Course5,26,6527,1
6,Course6,49,11728,3
7,Course7,53,19911,4
8,Course8,73,24733,2
9,Course9,27,8471,1
10,Course10,32,9972,2
11,Course11,23,7895,4
12,Course12,71,1057,2
13,Course13,71,22381,1
14,Course14,19,19328,3
15,Course15,81,3256,3
16,Course16,65,16731,1
17,Course17,63,3310,1
18,Course18,59,6303,4
19,Course19,43,21843,4
20,Course20,26,18972,2
21,Course21,13,24299,4
22,Course22,40,18184,1
23,Course23,70,8524,4
24,Course24,66,11515,2
25,Course25,24,12265,2
26,Course26,38,21193,1
27,Course27,58,18741,2
28,Course28,79,10760,2
29,Course29,73,17735,2
30,Course30,72,22081,4
31,Course31,41,14148,2
32,Course32,47,4436,1
33,Course33,36,823,1
34,Course34,14,23885,1
35,Course35,58,7998,1
36,Course36,29,9690,4
37,Course37,59,7040,1
38,Course38,36,3605,3
39,Course39,30,15470,3
40,Course40,72,8809,2
41,Course41,24,10890,1
42,Course42,81,20015,2
43,Course43,63,4535,2
44,Course44,42,19536,2
45,Course45,36,9344,4
46,Course46,47,18567,3
47,Course47,55,21639,2
48,Course48,45,5517,1
49,Course49,72,17855,4
50,Course50,16,13201,2
51,Course51,70,2821,3
52,Course52,82,2366,4
53,Course53,11,21371,4
54,Course54,11,9713,2
55,Course55,65,3904,1
56,Course56,33,7562,1
57,Course57,35,527,2
58,Course58,48,596,3
59,Course59,70,2175,3
60,Course60,8,5704,1
61,Course61,22,8263,3
62,Course62,66,15350,2
63,Course63,30,15049,4
64,Course64,28,15886,4
65,Course65,76,16746,3
66,Course66,70,8330,1
67,Course67,39,17624,1
68,Course68,43,722,3
69,Course69,40,3524,1
70,Course70,58,15556,1
71,Course71,1,4274,2
72,Course72,64,13272,2
73,Course73,81,4859,4
74,Course74,32,16274,4
75,Course75,40,700,4
76,Course76,62,184,3
77,Course77,63,588,4
78,Course78,15,22606,4
79,Course79,48,14050,2
80,Course80,69,478,3
81,Course81,5,3739,4
82,Course82,16,9357,2
83,Course83,17,19696,2
84,Course84,15,6127,1
85,Course85,26,3362,2
86,Course86,31,15304,1
87,Course87,65,15868,1
88,Course88,82,5579,4
89,Course89,43,1384,4
90,Course90,24,21811,3
91,Course91,34,6210,2
92,Course92,13,20547,3
93,Course93,29,5172,2
94,Course94,25,16485,4
95,Course95,34,20370,2
96,Course96,46,7630,4
97,Course97,46,12538,4
98,Course98,79,1773,4
99,Course99,21,1056,4
100,Course100,78,13911,2
101,Course101,58,5892,1
102,Course102,51,5330,2
103,Course103,33,9144,4
104,Course104,12,5839,4
105,Course105,16,10744,3
106,Course106,3,8207,2
107,Course107,39,14763,1
108,Course108,18,13702,3
109,Course109,39,19925,3
110,Course110,68,5186,3
111,Course111,7,19962,4
112,Course112,28,9344,3
113,Course113,68,7687,4
114,Course114,61,17390,4
115,Course115,24,3228,1
116,Course116,64,9914,3
117,Course117,53,10454,2
118,Course118,56,4365,3
119,Course119,74,4927,1
120,Course120,65,4877,2
121,Course121,59,9673,1
122,Course122,5,16875,3
123,Course123,1,13382,3
124,Course124,79,13013,2
125,Course125,16,14957,3
126,Course126,7,5935,4
127,Course127,23,2225,3
128,Course128,22,7715,4
129,Course129,2,15531,2
130,Course130,68,1728,4
131,Course131,53,21568,4
132,Course132,15,5943,2
133,Course133,4,1533,2
134,Course134,58,1131,1
135,Course135,24,9629,1
136,Course136,81,5068,4
137,Course137,70,3358,1
138,Course138,29,1965,3
139,Course139,60,6886,1
140,Course140,34,4398,1
141,Course141,16,16037,2
142,Course142,20,3118,3
143,Course143,70,17280,2
144,Course144,72,23912,2
145,Course145,3,15404,3
146,Course146,57,19983,4
147,Course147,46,13915,3
148,Course148,27,24005,3
149,Course149,56,13265,1
150,Course150,42,19326,1
151,Course151,55,4767,1
152,Course152,66,21558,1
153,Course153,1,1979,2
154,Course154,26,1709,4
155,Course155,56,16463,4
156,Course156,24,11198,1
157,Course157,18,24552,1
158,Course158,71,9694,2
159,Course159,27,23394,4
